class	Structured comment name	recommended	required
HumanOral	host_phenotype		
HumanOral	host_body_temp		
HumanOral	host_body_mass_index		
HumanOral	ethnicity		
HumanOral	host_occupation		
HumanOral	medic_hist_perform		
HumanOral	host_pulse		
HumanOral	perturbation		
HumanOral	salinity		
HumanOral	oxy_stat_samp		
HumanOral	temp		
HumanOral	organism_count		
HumanOral	samp_vol_we_dna_ext		
HumanOral	samp_store_temp		
HumanOral	samp_store_dur		
HumanOral	host_symbiont		
HumanOral	samp_store_loc		
HumanOral	misc_param		
HumanSkin	samp_name		True
HumanSkin	project_name		True
HumanSkin	dermatology_disord		
HumanSkin	time_since_last_wash		
HumanSkin	dominant_hand		
HumanSkin	host_subject_id		
HumanSkin	host_age		
HumanSkin	host_sex		
HumanSkin	host_disease_stat		
HumanSkin	ihmc_medication_code		
HumanSkin	chem_administration		
HumanSkin	host_body_site		
HumanSkin	host_body_product		
HumanSkin	host_tot_mass		
HumanSkin	host_height		
HumanSkin	host_diet		
HumanSkin	host_last_meal		
HumanSkin	host_family_relation		
HumanSkin	host_genotype		
HumanSkin	host_phenotype		
HumanSkin	host_body_temp		
HumanSkin	host_body_mass_index		
HumanSkin	ethnicity		
HumanSkin	host_occupation		
HumanSkin	medic_hist_perform		
HumanSkin	host_pulse		
HumanSkin	perturbation		
HumanSkin	salinity		
HumanSkin	oxy_stat_samp		
HumanSkin	temp		
HumanSkin	organism_count		
HumanSkin	samp_vol_we_dna_ext		
HumanSkin	samp_store_temp		
HumanSkin	samp_store_dur		
HumanSkin	samp_store_loc		
HumanSkin	host_symbiont		
HumanSkin	misc_param		
HumanVaginal	samp_name		True
HumanVaginal	project_name		True
HumanVaginal	menarche		
HumanVaginal	sexual_act		
HumanVaginal	pregnancy		
HumanVaginal	douche		
HumanVaginal	birth_control		
HumanVaginal	menopause		
HumanVaginal	hrt		
HumanVaginal	hysterectomy		
HumanVaginal	gynecologic_disord		
HumanVaginal	urogenit_disord		
HumanVaginal	host_subject_id		
HumanVaginal	host_age		
HumanVaginal	host_sex		
HumanVaginal	host_disease_stat		
HumanVaginal	ihmc_medication_code		
HumanVaginal	chem_administration		
HumanVaginal	host_body_site		
HumanVaginal	host_body_product		
HumanVaginal	host_tot_mass		
HumanVaginal	host_height		
HumanVaginal	host_diet		
HumanVaginal	host_last_meal		
HumanVaginal	host_family_relation		
HumanVaginal	host_genotype		
HumanVaginal	host_phenotype		
HumanVaginal	host_body_temp		
HumanVaginal	host_body_mass_index		
HumanVaginal	ethnicity		
HumanVaginal	host_occupation		
HumanVaginal	medic_hist_perform		
HumanVaginal	host_pulse		
HumanVaginal	perturbation		
HumanVaginal	samp_salinity		
HumanVaginal	salinity		
HumanVaginal	oxy_stat_samp		
HumanVaginal	temp		
HumanVaginal	organism_count		
HumanVaginal	samp_vol_we_dna_ext		
HumanVaginal	samp_store_temp		
HumanVaginal	samp_store_loc		
HumanVaginal	samp_store_dur		
HumanVaginal	host_symbiont		
HumanVaginal	misc_param		
HydrocarbonResourcesCores	samp_name		True
HydrocarbonResourcesCores	project_name		True
HydrocarbonResourcesCores	hcr		True
HydrocarbonResourcesCores	hc_produced		True
HydrocarbonResourcesCores	basin		True
HydrocarbonResourcesCores	field	True	
HydrocarbonResourcesCores	reservoir	True	
HydrocarbonResourcesCores	hcr_temp		True
HydrocarbonResourcesCores	tvdss_of_hcr_temp		
HydrocarbonResourcesCores	hcr_pressure		
HydrocarbonResourcesCores	tvdss_of_hcr_press		
HydrocarbonResourcesCores	permeability		
HydrocarbonResourcesCores	porosity		
HydrocarbonResourcesCores	lithology	True	
HydrocarbonResourcesCores	depos_env	True	
HydrocarbonResourcesCores	hcr_geol_age	True	
HydrocarbonResourcesCores	owc_tvdss		
HydrocarbonResourcesCores	hcr_fw_salinity	True	
HydrocarbonResourcesCores	sulfate_fw		True
HydrocarbonResourcesCores	vfa_fw		True
HydrocarbonResourcesCores	sr_kerog_type		
HydrocarbonResourcesCores	sr_lithology		
HydrocarbonResourcesCores	sr_dep_env		
HydrocarbonResourcesCores	sr_geol_age		
HydrocarbonResourcesCores	samp_well_name	True	
HydrocarbonResourcesCores	win	True	
HydrocarbonResourcesCores	samp_type		True
HydrocarbonResourcesCores	samp_subtype	True	
HydrocarbonResourcesCores	temp		True
HydrocarbonResourcesCores	pressure		
HydrocarbonResourcesCores	samp_tvdss	True	
HydrocarbonResourcesCores	samp_md		
HydrocarbonResourcesCores	elev		
HydrocarbonResourcesCores	oxy_stat_samp		
HydrocarbonResourcesCores	samp_transport_cond		
HydrocarbonResourcesCores	samp_store_temp		
HydrocarbonResourcesCores	samp_store_dur		
HydrocarbonResourcesCores	samp_store_loc		
HydrocarbonResourcesCores	samp_vol_we_dna_ext	True	
HydrocarbonResourcesCores	organism_count	True	
HydrocarbonResourcesCores	org_count_qpcr_info		
HydrocarbonResourcesCores	ph	True	
HydrocarbonResourcesCores	salinity		
HydrocarbonResourcesCores	alkalinity		
HydrocarbonResourcesCores	alkalinity_method		
HydrocarbonResourcesCores	sulfate	True	
HydrocarbonResourcesCores	sulfide	True	
HydrocarbonResourcesCores	tot_sulfur	True	
HydrocarbonResourcesCores	nitrate	True	
HydrocarbonResourcesCores	nitrite	True	
HydrocarbonResourcesCores	ammonium	True	
HydrocarbonResourcesCores	tot_nitro		
HydrocarbonResourcesCores	diss_iron	True	
HydrocarbonResourcesCores	sodium		
HydrocarbonResourcesCores	chloride		
HydrocarbonResourcesCores	potassium		
HydrocarbonResourcesCores	magnesium		
HydrocarbonResourcesCores	calcium		
HydrocarbonResourcesCores	tot_iron	True	
HydrocarbonResourcesCores	diss_org_carb		
HydrocarbonResourcesCores	diss_inorg_carb		
HydrocarbonResourcesCores	diss_inorg_phosp	True	
HydrocarbonResourcesCores	tot_phosp		
HydrocarbonResourcesCores	suspend_solids		
HydrocarbonResourcesCores	density		
HydrocarbonResourcesCores	diss_carb_dioxide		
HydrocarbonResourcesCores	diss_oxygen_fluid		
HydrocarbonResourcesCores	vfa	True	
HydrocarbonResourcesCores	benzene	True	
