env_1	env_2	raw	normalized
host-associated	microbial mat/biofilm	1.0	0.0
host-associated	food-farm environment	1.1183431952662721	0.31558185404339234
host-associated	plant-associated	1.0543478260869565	0.14492753623188412
host-associated	built environment	1.0	0.0
host-associated	sediment	1.0	0.0
symbiont-associated	soil	1.048780487804878	0.13008130081300825
symbiont-associated	food-human foods	1.0773809523809523	0.2063492063492062
symbiont-associated	air	1.1494252873563218	0.3984674329501914
symbiont-associated	human-skin	1.2134831460674158	0.5692883895131088
symbiont-associated	miscellaneous natural or artificial environment	1.1359223300970873	0.3624595469255662
symbiont-associated	water	1.0909090909090908	0.2424242424242422
symbiont-associated	food-food production facility	1.0740740740740742	0.19753086419753116
symbiont-associated	food-animal and animal feed	1.0880503144654088	0.23480083857442344
symbiont-associated	hydrocarbon resources-fluids/swabs	1.0608108108108107	0.16216216216216198
symbiont-associated	human-gut	1.2134831460674158	0.5692883895131088
symbiont-associated	hydrocarbon resources-cores	1.06993006993007	0.1864801864801867
symbiont-associated	human-associated	1.180952380952381	0.4825396825396826
symbiont-associated	microbial mat/biofilm	1.1065573770491803	0.2841530054644809
symbiont-associated	food-farm environment	1.1157894736842104	0.3087719298245612
symbiont-associated	plant-associated	1.1869918699186992	0.49864498644986455
symbiont-associated	built environment	1.0086580086580086	0.023088023088022897
symbiont-associated	sediment	1.1015625	0.2708333333333333
soil	food-human foods	1.0182926829268293	0.04878048780487809
soil	air	1.0	0.0
soil	human-skin	1.0	0.0
soil	miscellaneous natural or artificial environment	1.0	0.0
soil	water	1.0	0.0
soil	food-food production facility	1.0127388535031847	0.03397027600849256
soil	food-animal and animal feed	1.032258064516129	0.08602150537634401
soil	hydrocarbon resources-fluids/swabs	1.0	0.0
soil	human-gut	1.0	0.0
soil	hydrocarbon resources-cores	1.0	0.0
soil	human-associated	1.0	0.0
soil	microbial mat/biofilm	1.0091743119266054	0.0244648318042812
soil	food-farm environment	1.1055555555555556	0.28148148148148167
soil	plant-associated	1.0	0.0
soil	built environment	1.0	0.0
soil	sediment	1.008695652173913	0.023188405797101314
food-human foods	air	1.0534351145038168	0.14249363867684472
food-human foods	human-skin	1.0503597122302157	0.13429256594724195
food-human foods	miscellaneous natural or artificial environment	1.0472972972972974	0.1261261261261263
food-human foods	water	1.0374331550802138	0.09982174688057022
food-human foods	food-food production facility	1.0746268656716418	0.1990049751243781
food-human foods	food-animal and animal feed	1.104	0.2773333333333336
food-human foods	hydrocarbon resources-fluids/swabs	1.0317460317460319	0.08465608465608494
food-human foods	human-gut	1.0503597122302157	0.13429256594724195
food-human foods	hydrocarbon resources-cores	1.0324324324324323	0.0864864864864862
food-human foods	human-associated	1.0451612903225806	0.12043010752688173
food-human foods	microbial mat/biofilm	1.0421686746987953	0.11244979919678737
food-human foods	food-farm environment	1.0398009950248757	0.10613598673300177
food-human foods	plant-associated	1.0454545454545454	0.1212121212121211
food-human foods	built environment	1.003690036900369	0.009840098400983877
food-human foods	sediment	1.0406976744186047	0.10852713178294593
air	human-skin	1.0	0.0
air	miscellaneous natural or artificial environment	1.0166666666666666	0.04444444444444429
air	water	1.01	0.02666666666666669
air	food-food production facility	1.04	0.10666666666666676
air	food-animal and animal feed	1.0737704918032787	0.19672131147540975
air	hydrocarbon resources-fluids/swabs	1.0	0.0
air	human-gut	1.0	0.0
air	hydrocarbon resources-cores	1.0	0.0
air	human-associated	1.0	0.0
air	microbial mat/biofilm	1.0	0.0
air	food-farm environment	1.0974025974025974	0.25974025974025966
air	plant-associated	1.0	0.0
air	built environment	1.0	0.0
air	sediment	1.0	0.0
human-skin	miscellaneous natural or artificial environment	1.0	0.0
human-skin	water	1.0091743119266054	0.0244648318042812
human-skin	food-food production facility	1.037593984962406	0.10025062656641619
human-skin	food-animal and animal feed	1.0692307692307692	0.18461538461538454
human-skin	hydrocarbon resources-fluids/swabs	1.0	0.0
human-skin	human-gut	1.0	0.0
human-skin	hydrocarbon resources-cores	1.0	0.0
human-skin	human-associated	1.0357142857142858	0.0952380952380955
human-skin	microbial mat/biofilm	1.0	0.0
human-skin	food-farm environment	1.0858895705521472	0.22903885480572583
human-skin	plant-associated	1.0217391304347827	0.05797101449275388
human-skin	built environment	1.0	0.0
human-skin	sediment	1.0	0.0
miscellaneous natural or artificial environment	water	1.0116279069767442	0.03100775193798455
miscellaneous natural or artificial environment	food-food production facility	1.0352112676056338	0.09389671361502334
